"key","de","en"
"site_title","Signal für Demokratie — Gemeinsam für eine solidarische Heimat",""
"site_description","Demokratie. Gerechtigkeit. Nachbarschaft. Eine Bewegung für eine solidarische Heimat in Deutschland.",""
"brand_name","Signal für Demokratie",""
"nav_warum","Warum wir handeln",""
"nav_saeulen","Unsere Säulen",""
"nav_regeln","Regeln",""
"nav_vision","Vision 2030",""
"nav_download","Download",""
"nav_cta","Mitmachen",""
"hero_eyebrow","Gemeinsam für eine solidarische Heimat",""
"hero_title_prefix","Ein Signal",""
"hero_title_loud","für Demokratie.",""
"hero_tagline","Demokratie. Gerechtigkeit. Nachbarschaft.",""
"hero_lead","Deutschland gibt uns Freiheit, Sicherheit und Lebensqualität – doch diese Errungenschaften sind kein Selbstläufer. Rechtsextremismus, soziale Spaltung und Klimakrise bedrohen unser Miteinander. Wir handeln jetzt, bevor es zu spät ist.",""
"hero_btn_join","Jetzt mitmachen",""
"hero_btn_flyer","Flyer herunterladen",""
"hero_initiatives_title","Gemeinsam für die Demokratie — Befreundete Initiativen:",""
"hero_initiative_1_name","Widersetzen",""
"hero_initiative_1_tag","Aktionsbündnis",""
"hero_initiative_2_name","Zusammen gegen Rechts",""
"hero_initiative_2_tag","Demokratie-Bündnis",""
"hero_initiative_3_name","Omas gegen Rechts",""
"hero_initiative_3_tag","Zivilcourage",""
"hero_initiative_4_name","Campact",""
"hero_initiative_4_tag","Bürgerbewegung",""
"hero_initiative_5_name","Correctiv",""
"hero_initiative_5_tag","Recherche-Netzwerk",""
"ticker_1","#SolidarischeHeimat",""
"ticker_2","#DemokratieSchützen",""
"ticker_3","#GemeinsamStark",""
"ticker_4","#HeimatFürAlle",""
"ticker_5","#100000Stimmen",""
"warum_eyebrow","Warum wir handeln",""
"warum_title","Unsere Antwort auf Hass und Ausgrenzung",""
"warum_1_lead","Positive Visionen",""
"warum_1_rest","statt nur Protest",""
"warum_2_lead","Solidarität, die anpackt",""
"warum_2_rest","– online und vor Ort",""
"warum_3_lead","Eine Heimat für alle",""
"warum_3_rest",", die hier leben",""
"saeulen_eyebrow","Unsere Strategie",""
"saeulen_title","3 Säulen für eine starke Demokratie",""
"pillar_1_number","01",""
"pillar_1_title","Digitale Aufklärung & Vernetzung",""
"pillar_1_tagline","Wissen teilen. Desinformation stoppen. Solidarität sichtbar machen.",""
"pillar_1_point_1","Fakten statt Fake News: recherchierte Informationen gegen rechte Narrative — und positive Geschichten dagegen.",""
"pillar_1_point_2","Vernetzung, die wirkt: auf Signal und Threads bringen wir Engagierte für schlagkräftige Kampagnen zusammen.",""
"pillar_1_point_3","Ziel: Bis 2027 100.000 Menschen mit faktenbasierten Inhalten erreichen — und zum Mitmachen motivieren.",""
"pillar_1_example","Unsere virale Kampagne #HeimatFürAlle: 78% der Befragten fühlten sich danach besser informiert.",""
"pillar_2_number","02",""
"pillar_2_title","Politisches Engagement für Gerechtigkeit",""
"pillar_2_tagline","Rechtsextremismus wächst dort, wo Menschen abgehängt werden. Wir ändern das.",""
"pillar_2_point_1","Soziale Sicherheit für alle: Bedingungsloses Grundeinkommen in Pilotregionen, finanziert durch eine Vermögenssteuer auf Millionenerben.",""
"pillar_2_point_2","Gerechte Steuern: Reiche und Konzerne leisten ihren fairen Beitrag — für Schulen, Krankenhäuser und Klimaschutz.",""
"pillar_2_point_3","Mobilität für alle: kostenloser ÖPNV im ländlichen Raum, finanziert durch z.B. eine Stadtmaut.",""
"pillar_2_example","Mit lokalen Gewerkschaften haben wir 12 Kommunen von Bürgerräten für gerechte Fördergelder überzeugt.",""
"pillar_3_number","03",""
"pillar_3_title","Gelebte Solidarität vor Ort",""
"pillar_3_tagline","Demokratie entsteht im Miteinander — nicht im Netz.",""
"pillar_3_point_1","Aktionen, die verbinden: Müllsammeln, Dorfplatz-Verschönerung, Pop-up-Cafés mit Diskussionen über Demokratie.",""
"pillar_3_point_2","Partnerschaften auf Augenhöhe: mit Feuerwehren, Sportvereinen und Kulturinitiativen für ein lebendiges Land.",""
"pillar_3_point_3","Sichtbare Veränderung: 1.000 lokale Projekte bis 2030 — von renovierten Sportplätzen bis zu solidarischen Festen.",""
"pillar_3_example","Unsere #SolidaritätsKilometer-Tour durch 50 Dörfer brachte über 2.000 Menschen zusammen — und 15 neue Ortsgruppen.",""
"regeln_eyebrow","Unsere Regeln",""
"regeln_title","Klar. Fair. Konsequent.",""
"rule_1_title","Kein Platz für Hass",""
"rule_1_text","Rassismus, Antisemitismus, Sexismus oder Queerfeindlichkeit führen zum sofortigen Ausschluss.",""
"rule_2_title","Fakten statt Gerüchte",""
"rule_2_text","Wir teilen nur geprüfte Informationen — keine Panikmache, keine Verschwörungstheorien.",""
"rule_3_title","Sicherheit geht vor",""
"rule_3_text","Keine Screenshots oder Weiterleitungen aus der Signal-Gruppe ohne Absprache.",""
"rule_4_title","Fokus auf das Wesentliche",""
"rule_4_text","Keine parteipolitischen Grabenkämpfe — wir konzentrieren uns auf unsere drei Säulen.",""
"vision_eyebrow","Unsere Vision für 2030",""
"vision_quote","Demokratie ist kein Geschenk – sie ist eine Aufgabe. Packen wir's an.",""
"vision_goal_1","1.000 lokale Gruppen in ganz Deutschland",""
"vision_goal_2","Eine Bewegung, die Rechtsextremismus die Luft abwürgt",""
"vision_goal_3","Eine Gesellschaft, in der Solidarität und Gerechtigkeit selbstverständlich sind",""
"mitmachen_eyebrow","Mitmachen",""
"mitmachen_title","Du willst mitgestalten?",""
"mitmachen_card_1_title","Lokal aktiv werden",""
"mitmachen_card_1_text","Schreib uns eine DM auf Threads oder in unserer Signal-Gruppe.",""
"mitmachen_card_1_cta","Threads & Signal",""
"mitmachen_card_2_title","Spenden",""
"mitmachen_card_2_text","Unterstütze uns mit einem monatlichen Beitrag ab 5 € – 100% fließen in Projekte vor Ort.",""
"mitmachen_card_2_cta","Jetzt spenden",""
"mitmachen_card_3_title","Weiterleiten",""
"mitmachen_card_3_text","Teile dieses Leitbild – je mehr wir sind, desto stärker sind wir!",""
"mitmachen_card_3_cta","Material teilen",""
"mitmachen_hashtags","#SolidarischeHeimat · #DemokratieSchützen · #GemeinsamStark",""
"download_eyebrow","Material",""
"download_title","Download-Bereich",""
"download_description","Lade unseren Flyer und weiteres Material herunter, um es zu verteilen oder auszudrucken.",""
"download_button","Herunterladen",""
"download_item_1_name","Flyer",""
"download_item_1_desc","Der Signal-für-Demokratie-Flyer zum Ausdrucken und Weitergeben.",""
"download_item_2_name","Logo",""
"download_item_2_desc","Unser Logo als Vektorgrafik — verlustfrei skalierbar für Web und Druck.",""
"download_item_3_name","Design-Entwurf (Vektor)",""
"download_item_3_desc","Der vollständige Gestaltungsentwurf als SVG-Datei.",""
"download_item_4_name","Design-Entwurf (Druckformat)",""
"download_item_4_desc","Der Gestaltungsentwurf im EPS-Format für professionellen Druck.",""
"footer_tagline","Signal für Demokratie — eine Bewegung für eine solidarische Heimat.",""
"footer_subtagline","Demokratie. Gerechtigkeit. Nachbarschaft.",""
"footer_contact_title","Kontakt",""
"footer_legal_title","Rechtliches & Mehr",""
"footer_link_email","E-Mail",""
"footer_link_threads","Threads",""
"footer_link_signal","Signal-Gruppe",""
"footer_link_impressum","Impressum",""
"footer_link_datenschutz","Datenschutzerklärung",""
"footer_link_saeulen","Unsere Säulen",""
"footer_link_regeln","Unsere Regeln",""
"footer_link_downloads","Downloads",""
